brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
4,1,1,4,8,1,0,1024,2,64,2,0,3,0,0,49279,3,38,3
5,1,1,0,8,1,0,1024,2,32,0,0,3,0,0,38999,2,7,2
1,1,1,1,8,1,0,1024,2,32,0,0,3,0,0,41500,2,4,0
7,1,1,1,4,1,0,1024,2,32,0,0,3,0,0,36999,2,0,0
3,1,1,1,8,1,0,1024,2,32,0,0,3,0,0,42900,2,0,0
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,21490,2,818,113
3,1,1,1,8,1,0,1024,2,32,0,0,3,0,0,41480,2,25,4
1,1,1,0,8,1,0,1024,2,64,0,0,3,0,0,32990,1,12,0
1,1,1,1,8,1,0,1024,2,64,0,0,0,0,0,38680,2,17,1
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,23990,3,974,170
3,1,1,0,8,1,0,1024,2,64,0,2,3,0,0,40390,2,83,15
1,1,1,0,4,1,0,1024,2,64,0,2,3,0,0,33990,2,31,6
1,1,0,7,4,4,0,512,2,32,0,0,3,0,0,20490,2,637,91
3,1,1,0,8,1,256,1024,2,64,0,2,0,0,1,41490,4,7,5
3,1,1,1,8,1,256,1024,2,64,0,0,3,0,0,45490,3,207,16
3,1,1,1,8,1,256,1024,2,64,0,0,3,0,0,44490,3,844,103
1,1,1,1,8,1,256,1024,2,64,0,0,0,0,1,41890,3,53,6
3,1,1,1,4,1,256,1024,2,64,0,2,0,0,1,42990,3,62,7
7,1,1,1,8,1,256,1024,2,64,0,0,3,0,0,40990,3,38,2
3,1,1,1,8,1,256,1024,2,64,0,2,0,0,0,48990,3,724,92
3,1,1,1,4,1,256,1024,2,64,0,2,0,0,1,43590,2,0,0
3,1,1,0,4,1,256,1024,2,64,0,0,0,0,0,44690,3,9,0
1,1,1,0,4,1,256,1024,2,64,0,0,3,0,0,40990,2,0,0
3,1,1,1,4,1,256,1024,2,64,0,2,0,0,1,43990,2,0,0
3,1,1,1,4,1,256,1024,2,64,0,2,0,0,1,43590,2,0,0
3,1,1,0,4,1,256,1024,2,64,0,2,0,0,1,41390,3,56,7
3,1,1,0,4,1,256,1024,2,64,0,2,0,0,1,44290,2,0,0
3,1,1,1,4,1,256,1024,2,64,0,0,0,0,0,48999,2,0,0
3,1,1,1,4,1,256,1024,2,64,0,2,0,0,1,39990,2,170,11
